ingredients,cooking_method,cooking_temperature,cooking_duration,storage_temperature,humidity,container_type,preparation_date,safe_hours,risk_level,recommended_max_temp,storage_tips
"tofu,rice,spinach",grilled,179.81025382644378,69.44891804676209,7.320605610052796,54.6786824938763,glass,2025-01-20,43.2,high,8.0,Reduce storage temperature
"pork,pasta,carrots",roasted,61.913573428655106,27.656112657999746,5.683171179213038,41.9278016713359,plastic,2025-01-15,60.7,medium,7.683171179213038,Reduce storage temperature; Consider airtight container
"tofu,pasta,carrots",fried,179.4102627981165,49.002156299466,3.5622800353057054,71.51016676155498,vacuum_sealed,2025-01-23,78.5,low,5.562280035305705,Control humidity
"beef,pasta,peppers",boiled,60.81459965942686,149.19249189306325,7.854398266407326,74.18093086625393,metal,2025-01-19,36.1,high,8.0,Reduce storage temperature; Control humidity
"pork,pasta,mushrooms",baked,136.88515004542404,69.22765820964828,8.593234756624124,68.07155306191115,ceramic,2025-01-06,34.9,high,8.0,Reduce storage temperature; Control humidity
"fish,potatoes,mushrooms",grilled,155.5005207867149,112.35208208379791,5.753337607176378,71.60272879920922,ceramic,2025-01-19,40.6,high,7.753337607176378,Reduce storage temperature; Control humidity
"pork,potatoes,onions",grilled,123.66495500471838,29.908665085932814,6.797569590837615,33.130507461373455,plastic,2025-01-06,57.2,medium,8.0,Reduce storage temperature; Consider airtight container
"tofu,noodles,broccoli",boiled,155.9780400512513,70.05161939648909,7.280929764163323,79.02507276469086,glass,2025-01-01,38.0,high,8.0,Reduce storage temperature; Control humidity
"chicken,rice,peppers",boiled,134.3377340545092,25.138836668812417,3.952606334368819,79.78857557149567,metal,2024-12-29,64.4,medium,5.952606334368819,Control humidity
"lamb,quinoa,mushrooms",stir_fried,72.90997217035596,131.35911330984703,8.214540358949893,60.049528905863056,ceramic,2025-01-04,31.7,high,8.0,Reduce storage temperature; Control humidity
"tofu,noodles,broccoli",steamed,77.85654507612144,83.15265348810755,9.580484149320375,47.76589394454845,plastic,2025-01-06,49.3,medium,8.0,Reduce storage temperature; Consider airtight container
"beef,rice,spinach",fried,110.13320709933267,70.33945424079948,2.509449514769627,50.04942502153059,ceramic,2024-12-29,68.6,medium,4.509449514769627,Standard storage adequate
"chicken,rice,mushrooms",grilled,136.64854351369536,66.04616963947623,3.807658620029178,74.74973249349397,vacuum_sealed,2025-01-03,70.5,medium,5.807658620029178,Control humidity
"beef,noodles,onions",steamed,196.78320287979338,128.96379624947232,5.841804791923798,56.84879118740362,glass,2025-01-16,75.6,low,7.841804791923798,Reduce storage temperature
"lamb,bread,onions",grilled,158.52715839798654,58.527127605478256,3.2199016703501355,58.994365612971976,metal,2025-01-22,75.3,low,5.2199016703501355,Standard storage adequate
"chicken,quinoa,onions",baked,89.96711088284552,174.85280261174498,9.576573540241206,33.479263860893965,plastic,2025-01-06,48.4,medium,8.0,Reduce storage temperature; Consider airtight container
"lamb,noodles,broccoli",baked,119.94989508632298,74.1337114178911,9.162700061008419,40.275247765395264,glass,2024-12-30,48.6,medium,8.0,Reduce storage temperature
"chicken,noodles,carrots",boiled,112.98437996726273,86.13388298821016,4.95003955059964,55.63029884625226,metal,2025-01-15,74.1,low,6.95003955059964,Standard storage adequate
"lamb,bread,carrots",roasted,171.57913035599825,47.92999429509328,8.123514362230488,65.95718956309429,metal,2025-01-13,33.8,high,8.0,Reduce storage temperature; Control humidity
"fish,potatoes,mushrooms",boiled,121.63415513119864,112.5621357208872,2.632770514196287,37.87462075889359,vacuum_sealed,2024-12-27,120.9,low,4.632770514196287,Standard storage adequate
"tofu,rice,broccoli",steamed,79.80856867746215,93.13478514679073,6.829591828167069,48.877629316376755,ceramic,2025-01-18,62.4,medium,8.0,Reduce storage temperature
"fish,pasta,broccoli",boiled,226.46820897244436,147.79774139863116,4.668617697771471,37.3970296440981,glass,2025-01-13,80.9,low,6.668617697771471,Standard storage adequate
"chicken,bread,peppers",roasted,118.3629681059204,176.23314845817012,4.300718178307153,71.54311636163732,metal,2025-01-11,47.4,high,6.300718178307153,Control humidity
"beef,rice,carrots",grilled,126.38382660731949,108.40185383015093,9.028848006679063,36.023170712397686,glass,2025-01-04,49.3,medium,8.0,Reduce storage temperature
"eggs,rice,carrots",roasted,220.1434372024807,100.82085370443062,3.469881879994311,79.42440388553955,glass,2025-01-10,65.5,medium,5.469881879994311,Control humidity
"eggs,bread,onions",stir_fried,194.44415167059137,140.33115293625062,9.198333473239487,62.64049849380285,glass,2025-01-19,35.7,high,8.0,Reduce storage temperature; Control humidity
"chicken,pasta,carrots",boiled,188.08283391285204,10.552093749897523,4.831143851627174,77.14218945705622,ceramic,2024-12-28,46.9,high,6.831143851627174,Control humidity
"lamb,noodles,spinach",grilled,190.0986321615088,63.30052204557288,6.824748550275018,66.79629985097553,ceramic,2024-12-30,38.2,high,8.0,Reduce storage temperature; Control humidity
"fish,quinoa,broccoli",steamed,141.28056316001027,177.71319716502737,6.930992366644304,45.06183201886705,glass,2025-01-06,77.7,low,8.0,Reduce storage temperature
"eggs,rice,carrots",fried,85.75710859143302,41.37900491429589,3.0389326914124135,61.75680241819074,plastic,2025-01-22,58.8,medium,5.0389326914124135,Control humidity; Consider airtight container
"chicken,quinoa,spinach",grilled,110.2762760223707,17.59981906151061,6.988384686838687,50.83286511037331,metal,2025-01-01,62.2,medium,8.0,Reduce storage temperature
"beef,rice,onions",steamed,162.76240834764698,24.15755953073249,6.184705089504623,61.3373972983482,ceramic,2024-12-28,56.8,medium,8.0,Reduce storage temperature; Control humidity
"chicken,noodles,onions",grilled,168.93281897681047,136.2383614196558,2.4399682206936344,59.33458551061895,vacuum_sealed,2025-01-06,90.5,low,4.439968220693634,Standard storage adequate
"beef,quinoa,carrots",boiled,95.59276524672514,33.53828609180074,5.494069628183561,65.14762648585412,ceramic,2025-01-09,44.2,high,7.494069628183561,Reduce storage temperature; Control humidity
"lamb,quinoa,spinach",baked,147.3321037396479,138.29246286751018,8.12444580952538,46.40869254315061,metal,2025-01-18,45.4,high,8.0,Reduce storage temperature
"fish,bread,onions",roasted,233.09442856890175,62.56877910935758,6.249067184991576,73.58339593526077,metal,2025-01-11,48.6,medium,8.0,Reduce storage temperature; Control humidity
"tofu,potatoes,broccoli",grilled,116.53953901704679,119.304213897867,3.062927370328346,73.41422726142642,vacuum_sealed,2025-01-16,66.7,medium,5.062927370328346,Control humidity
"beef,pasta,mushrooms",steamed,129.14240128829834,100.02306973196055,7.362137005352136,72.26994291391847,plastic,2025-01-14,42.5,high,8.0,Reduce storage temperature; Control humidity; Consider airtight container
"tofu,potatoes,peppers",baked,178.57197552625385,45.89764544449445,7.69168969557688,75.62437602968507,vacuum_sealed,2025-01-07,46.0,high,8.0,Reduce storage temperature; Control humidity
"lamb,quinoa,onions",fried,114.9485708826921,153.39312008342054,2.9036094622680606,62.52219685364967,metal,2025-01-18,62.6,medium,4.903609462268061,Control humidity
"beef,quinoa,onions",baked,85.92034832526954,56.099459134701014,4.528106783556513,52.071395521277175,metal,2024-12-27,58.5,medium,6.528106783556513,Standard storage adequate
"chicken,pasta,carrots",grilled,171.8359184481924,50.41169676692193,5.138297719538861,30.369357416412036,ceramic,2024-12-26,59.6,medium,7.138297719538861,Reduce storage temperature
"pork,rice,onions",grilled,220.48547816504453,32.43905064563427,6.867831974461441,46.16015369774794,vacuum_sealed,2025-01-04,74.6,low,8.0,Reduce storage temperature
"lamb,pasta,mushrooms",stir_fried,243.44499127387044,123.7735521918165,8.571196375762394,39.954526110410235,ceramic,2025-01-04,43.5,high,8.0,Reduce storage temperature
"tofu,potatoes,carrots",boiled,152.41584187466867,90.36628888323747,8.419742459416629,53.09960356865799,glass,2025-01-20,53.8,medium,8.0,Reduce storage temperature
"tofu,pasta,broccoli",roasted,124.54025686771081,84.27374710012299,5.455965325308922,32.24754708107136,vacuum_sealed,2025-01-09,86.2,low,7.455965325308922,Reduce storage temperature
"fish,bread,spinach",boiled,150.04083010428008,134.0315365503904,3.7813168376233106,38.678812727540276,glass,2025-01-22,101.3,low,5.781316837623311,Standard storage adequate
"beef,quinoa,broccoli",fried,167.20804780507575,99.30470200143833,2.335713699114211,66.8902718073455,metal,2025-01-18,59.0,medium,4.335713699114211,Control humidity
"chicken,potatoes,onions",steamed,226.15454598147898,66.85919629044719,5.987023197180134,65.38437487235291,glass,2025-01-16,66.3,medium,7.987023197180134,Reduce storage temperature; Control humidity
"lamb,quinoa,carrots",grilled,156.49384097892323,100.7645777045407,7.2433728127807955,63.03818496904972,metal,2025-01-08,33.3,high,8.0,Reduce storage temperature; Control humidity
"eggs,quinoa,peppers",roasted,195.1975023350206,89.9884023014815,5.895172741207794,71.56375848025742,metal,2025-01-18,51.4,medium,7.895172741207794,Reduce storage temperature; Control humidity
"fish,pasta,spinach",grilled,214.7148209751419,88.80367335667098,9.401995646867361,64.13696743888863,plastic,2025-01-04,33.6,high,8.0,Reduce storage temperature; Control humidity; Consider airtight container
"fish,noodles,carrots",baked,194.39773262352054,101.18935475526024,3.9330307603192063,68.89656691385268,glass,2025-01-17,67.6,medium,5.933030760319206,Control humidity
"beef,bread,onions",steamed,157.51514955522563,25.3370146517594,2.5738469550433916,69.80623808712141,glass,2025-01-14,75.3,low,4.573846955043392,Control humidity
"chicken,noodles,spinach",grilled,180.04782082823922,171.6376921798701,4.687545531650794,61.71958547926032,plastic,2025-01-06,42.8,high,6.687545531650794,Control humidity; Consider airtight container
"tofu,bread,carrots",roasted,107.23146741264257,51.16787144937076,4.9829706945226215,52.978029186839834,glass,2025-01-13,64.9,medium,6.9829706945226215,Standard storage adequate
"tofu,quinoa,broccoli",steamed,107.08225826270998,48.21046990270185,6.101775230162523,47.970029338503586,ceramic,2025-01-20,68.9,medium,8.0,Reduce storage temperature
"tofu,quinoa,carrots",baked,108.08170984897612,151.3074863074099,2.594446913121244,55.77662859343248,metal,2025-01-12,81.4,low,4.594446913121244,Standard storage adequate
"pork,pasta,spinach",boiled,225.3262275108811,129.46788531980727,3.2323139142870128,68.14268198058463,plastic,2025-01-23,63.8,medium,5.232313914287013,Control humidity; Consider airtight container
"tofu,potatoes,broccoli",steamed,159.07524161110717,22.998831111328364,8.811502661836002,48.311418160811954,glass,2025-01-04,55.4,medium,8.0,Reduce storage temperature
"beef,rice,spinach",stir_fried,216.1327185250208,160.72911618538208,7.481778117323758,56.61979663992312,glass,2025-01-09,40.0,high,8.0,Reduce storage temperature
"beef,quinoa,spinach",roasted,248.28144527129268,138.20004024683664,7.2712158826000906,73.53308214309268,plastic,2025-01-12,35.4,high,8.0,Reduce storage temperature; Control humidity; Consider airtight container
"fish,noodles,mushrooms",roasted,177.32177380318433,25.82537435825897,2.602024856628316,66.55184494565009,metal,2025-01-21,60.8,medium,4.602024856628316,Control humidity
"lamb,quinoa,spinach",grilled,200.87650056746068,15.298959296847759,3.787119537970997,66.84393025858658,ceramic,2025-01-20,52.4,medium,5.787119537970997,Control humidity
"eggs,potatoes,onions",boiled,156.16857933312787,57.317008496046505,3.829572934920308,63.70148833670447,ceramic,2025-01-03,54.2,medium,5.829572934920308,Control humidity
"chicken,noodles,peppers",roasted,178.52331729959218,77.82127417567789,9.72683747030567,32.80826976851507,vacuum_sealed,2025-01-23,61.7,medium,8.0,Reduce storage temperature
"pork,pasta,carrots",boiled,143.19917522999475,69.56451653842143,3.286378113078645,59.419338832533896,glass,2025-01-11,94.2,low,5.286378113078645,Standard storage adequate
"tofu,pasta,carrots",boiled,108.55240879253986,155.03043780246242,2.973330014289038,70.53970962507343,metal,2024-12-29,66.6,medium,4.973330014289038,Control humidity
"lamb,noodles,broccoli",stir_fried,99.74021510434827,74.23867885246626,4.225446389076051,47.67822400983107,vacuum_sealed,2024-12-31,77.2,low,6.225446389076051,Standard storage adequate
"chicken,potatoes,mushrooms",grilled,148.42829750203907,125.62239334887201,4.0483040670097905,57.68901626701273,metal,2025-01-02,62.4,medium,6.0483040670097905,Standard storage adequate
"fish,quinoa,carrots",baked,86.64977512880235,14.533090992542197,5.342422413941465,77.41285553772488,metal,2024-12-29,49.9,medium,7.342422413941465,Reduce storage temperature; Control humidity
"eggs,pasta,carrots",fried,146.51893315828966,44.63375064707911,2.364508611271895,67.5434291004998,plastic,2025-01-05,51.1,medium,4.364508611271895,Control humidity; Consider airtight container
"beef,potatoes,spinach",boiled,151.77505954719595,23.094318845910557,4.229999238887804,53.19747453453517,ceramic,2025-01-11,59.4,medium,6.229999238887804,Standard storage adequate
"chicken,quinoa,broccoli",roasted,183.4972356634414,30.04739972095334,8.117235259585126,67.53573133078135,metal,2024-12-29,37.9,high,8.0,Reduce storage temperature; Control humidity
"tofu,noodles,carrots",baked,236.60371383852265,118.40837005826646,4.028637450387295,54.874266566871846,glass,2025-01-08,66.7,medium,6.028637450387295,Standard storage adequate
"eggs,noodles,onions",baked,154.75154900922004,21.137560265618635,2.7456222267947465,63.509955087406674,metal,2025-01-11,56.6,medium,4.7456222267947465,Control humidity
"chicken,noodles,spinach",stir_fried,203.38518966365527,40.12811813801555,9.112875669543262,67.34454093552084,metal,2025-01-03,35.4,high,8.0,Reduce storage temperature; Control humidity
"beef,pasta,broccoli",fried,173.71627764694392,144.5613094735481,7.523892485793192,34.30286254067213,glass,2025-01-03,53.1,medium,8.0,Reduce storage temperature
"fish,bread,carrots",boiled,126.52908839076127,156.6800621432636,3.3592701460956143,61.04814137169927,metal,2025-01-03,64.7,medium,5.359270146095614,Control humidity
"fish,noodles,carrots",boiled,230.65091168715168,36.712738642929516,4.163547637924575,79.97310188230938,ceramic,2025-01-18,51.8,medium,6.163547637924575,Control humidity
"beef,noodles,carrots",fried,76.22355581788753,76.80307065632056,5.514724468236526,39.85299084684093,ceramic,2025-01-07,66.1,medium,7.514724468236526,Reduce storage temperature
"fish,potatoes,onions",baked,199.2508253582947,14.570803077328577,8.023450858813938,49.3722641829965,vacuum_sealed,2025-01-08,52.4,medium,8.0,Reduce storage temperature
"pork,quinoa,peppers",fried,130.5087795777946,151.79668097262945,7.091783943273346,59.73339534161831,ceramic,2025-01-23,36.5,high,8.0,Reduce storage temperature
"fish,bread,spinach",boiled,92.82165868032806,178.9953261718532,5.014521896721161,70.65241056583969,metal,2025-01-13,55.9,medium,7.014521896721161,Reduce storage temperature; Control humidity
"pork,rice,carrots",boiled,169.00106979349763,163.922281314345,4.447522486496327,62.17249600120684,metal,2024-12-26,50.5,medium,6.447522486496327,Control humidity
"chicken,rice,broccoli",grilled,214.89139083275793,66.63445747509071,6.488207349294142,44.86669566054675,glass,2025-01-10,66.9,medium,8.0,Reduce storage temperature
"lamb,quinoa,peppers",fried,231.00642917651223,114.43550236495247,9.791688163736023,46.27202639736532,vacuum_sealed,2024-12-26,52.3,medium,8.0,Reduce storage temperature
"pork,pasta,peppers",fried,92.63682526377704,157.99472949497357,9.113798158854884,38.85390987767143,metal,2025-01-14,48.0,medium,8.0,Reduce storage temperature
"tofu,quinoa,spinach",fried,169.11450504040255,121.12845771707995,6.23749978079009,59.95732078337263,metal,2025-01-10,60.9,medium,8.0,Reduce storage temperature
"chicken,bread,spinach",stir_fried,244.35627208318323,120.00817228087732,8.272939516931654,48.33171619772414,metal,2025-01-05,42.2,high,8.0,Reduce storage temperature
"chicken,rice,broccoli",steamed,60.33560433951747,147.31706689582052,4.239694602830895,67.27734865989756,metal,2025-01-09,61.4,medium,6.239694602830895,Control humidity
"chicken,quinoa,peppers",fried,167.35732887400508,37.00891768386957,7.644967882048126,73.48052324121466,glass,2025-01-17,34.7,high,8.0,Reduce storage temperature; Control humidity
"chicken,rice,spinach",roasted,97.5937864123516,73.29990454410584,3.3832624339010877,75.66631146742185,ceramic,2025-01-10,50.6,medium,5.383262433901088,Control humidity
"chicken,noodles,mushrooms",baked,148.00058884982266,13.44270059016425,4.370600582981658,51.521892694408265,metal,2025-01-17,67.6,medium,6.370600582981658,Standard storage adequate
"chicken,pasta,spinach",boiled,147.44664504121073,91.31572428097785,4.565599304229273,47.84547598412691,plastic,2025-01-04,64.1,medium,6.565599304229273,Consider airtight container
"lamb,rice,onions",grilled,153.1690461807722,152.14522935425867,3.658332890820624,47.664917819982,plastic,2024-12-30,61.3,medium,5.658332890820624,Consider airtight container
"beef,rice,onions",boiled,195.5766511588744,59.37593003961675,6.333934404867991,32.01551113342571,vacuum_sealed,2025-01-17,98.8,low,8.0,Reduce storage temperature
"beef,quinoa,onions",steamed,107.34169683010472,137.9475497579417,3.166586747819375,35.62639419821903,plastic,2025-01-02,103.3,low,5.166586747819375,Consider airtight container
"eggs,rice,peppers",steamed,87.70362826323847,63.84493159241965,7.585815280467651,76.86154649611935,plastic,2024-12-28,36.0,high,8.0,Reduce storage temperature; Control humidity; Consider airtight container
"chicken,potatoes,spinach",baked,117.92843102946584,48.42703812111798,2.611135999180874,37.75211406043307,ceramic,2025-01-12,82.2,low,4.611135999180874,Standard storage adequate
"beef,noodles,spinach",baked,71.24162347156236,173.80841589485595,2.532486905304439,44.909206467715734,metal,2024-12-25,72.8,low,4.532486905304439,Standard storage adequate
"beef,quinoa,mushrooms",fried,117.16864182588989,144.70929383048104,8.44579582446056,34.268781725004565,vacuum_sealed,2025-01-07,57.2,medium,8.0,Reduce storage temperature
"chicken,quinoa,broccoli",grilled,178.00513712164502,30.06589687233657,5.8017750495013845,77.91211931894928,glass,2025-01-02,53.2,medium,7.8017750495013845,Reduce storage temperature; Control humidity
"beef,noodles,broccoli",grilled,62.91762141608662,160.6957159442361,2.6454895186618037,41.71635386794415,vacuum_sealed,2025-01-05,92.1,low,4.645489518661804,Standard storage adequate
"lamb,pasta,carrots",boiled,242.02312929482568,118.07625214990293,5.006393640068746,49.31924418198601,glass,2025-01-22,72.7,low,7.006393640068746,Reduce storage temperature
"tofu,bread,onions",grilled,107.85749022307425,93.38932692925307,2.2572764901365483,50.655726562808894,ceramic,2025-01-23,68.5,medium,4.257276490136548,Standard storage adequate
"chicken,quinoa,broccoli",baked,239.1616868997777,87.39621145900443,7.444368674108402,77.20974616174027,plastic,2024-12-30,31.2,high,8.0,Reduce storage temperature; Control humidity; Consider airtight container
"fish,bread,peppers",baked,112.91878283290248,96.58592733455009,9.09396849922474,71.33820873510122,ceramic,2025-01-04,30.6,high,8.0,Reduce storage temperature; Control humidity
"tofu,potatoes,peppers",boiled,224.21106401394064,55.28466289801388,2.5336071715763406,61.21885839376418,vacuum_sealed,2025-01-23,81.0,low,4.533607171576341,Control humidity
"pork,rice,onions",boiled,74.798418052343,80.18257882694671,5.5988832646874584,59.93432655901199,plastic,2025-01-18,68.8,medium,7.5988832646874584,Reduce storage temperature; Consider airtight container
"fish,potatoes,carrots",boiled,134.45267266671468,155.39995852399366,8.101399149089573,35.67326665715379,ceramic,2025-01-06,43.4,high,8.0,Reduce storage temperature
"fish,pasta,carrots",stir_fried,242.59958585683395,38.85837853898286,7.687619634297115,59.89493958340412,glass,2025-01-19,39.9,high,8.0,Reduce storage temperature
"eggs,pasta,spinach",roasted,68.84869399510653,60.044576712445114,9.950681098191609,34.77743998091803,glass,2025-01-08,53.8,medium,8.0,Reduce storage temperature
"tofu,pasta,peppers",roasted,140.5424144865064,21.24205551866939,3.2197346350572813,67.8021837072416,metal,2025-01-18,55.7,medium,5.219734635057281,Control humidity
"beef,potatoes,mushrooms",steamed,110.21446708886754,80.54581605098362,2.936676784177897,42.467514852544504,ceramic,2025-01-01,82.8,low,4.936676784177897,Standard storage adequate
"beef,potatoes,mushrooms",steamed,129.76014039994055,117.15610164514581,9.501510577126812,79.33598183069577,glass,2025-01-12,47.6,high,8.0,Reduce storage temperature; Control humidity
"chicken,noodles,carrots",steamed,210.47306984890557,139.43858349893205,3.274507233168893,68.68388099426065,vacuum_sealed,2024-12-31,92.8,low,5.274507233168893,Control humidity
"chicken,quinoa,peppers",fried,233.6699680721604,110.92978597819801,4.165283771787618,36.83674605174335,glass,2025-01-17,77.2,low,6.165283771787618,Standard storage adequate
"tofu,noodles,mushrooms",fried,126.69707160275665,44.339496555186344,7.6139152227477265,56.826559831773366,vacuum_sealed,2025-01-04,49.1,medium,8.0,Reduce storage temperature
"lamb,pasta,carrots",fried,129.57873190135683,33.76989993782924,2.003618508984446,79.63279663577396,plastic,2025-01-03,59.3,medium,4.003618508984446,Control humidity; Consider airtight container
"beef,bread,peppers",boiled,134.90741908537908,109.39186495011346,4.05615775214354,45.000780791933835,glass,2025-01-16,76.7,low,6.05615775214354,Standard storage adequate
"eggs,noodles,carrots",fried,162.8725464415491,107.00351792077853,2.038014997875063,70.66998765863612,ceramic,2025-01-23,52.0,medium,4.038014997875063,Control humidity
"fish,quinoa,onions",boiled,88.11859553210616,41.88443183629662,4.5210242652120884,58.74791396377749,vacuum_sealed,2025-01-07,90.1,low,6.5210242652120884,Standard storage adequate
"fish,quinoa,mushrooms",boiled,229.6630895532937,26.723159494027026,8.213509243147964,51.36675426492827,glass,2025-01-17,48.1,medium,8.0,Reduce storage temperature
"eggs,quinoa,spinach",roasted,125.11414515529964,149.27326267507055,6.774640907856576,66.96639184686472,plastic,2025-01-16,49.4,medium,8.0,Reduce storage temperature; Control humidity; Consider airtight container
"pork,potatoes,spinach",grilled,121.44029744104586,178.6546523303555,8.23253681896229,48.09244615018001,metal,2024-12-25,41.8,high,8.0,Reduce storage temperature
"lamb,quinoa,peppers",boiled,154.82900715373245,59.91531132996854,9.151062631506441,40.52312060018817,vacuum_sealed,2024-12-28,56.0,medium,8.0,Reduce storage temperature
"chicken,noodles,onions",baked,233.00647894072753,129.13359540411156,6.85692580192723,54.11899842065996,plastic,2025-01-01,58.5,medium,8.0,Reduce storage temperature; Consider airtight container
"beef,noodles,broccoli",fried,226.54774372225575,75.30871579291816,9.378923994024612,70.77126588299728,vacuum_sealed,2025-01-17,41.8,high,8.0,Reduce storage temperature; Control humidity
"tofu,noodles,onions",baked,83.77561359642456,32.86978877907344,3.3225397488163333,62.595634022161896,vacuum_sealed,2025-01-09,81.7,low,5.322539748816333,Control humidity
"pork,potatoes,broccoli",fried,234.6125645095322,178.90432981330815,5.139182759883292,49.70833894068917,vacuum_sealed,2024-12-27,74.9,low,7.139182759883292,Reduce storage temperature
"beef,quinoa,carrots",steamed,167.05181185392235,68.44407615164134,7.600054774976218,59.06454101243618,vacuum_sealed,2025-01-21,61.7,medium,8.0,Reduce storage temperature
"lamb,bread,mushrooms",baked,78.40312538597362,122.77765965225646,4.213297023346246,38.455181526238135,glass,2025-01-10,68.0,medium,6.213297023346246,Standard storage adequate
"lamb,quinoa,spinach",roasted,174.20940736458033,38.2428311264663,9.193631341430532,54.10590774332133,metal,2025-01-19,45.9,high,8.0,Reduce storage temperature
"eggs,rice,broccoli",fried,126.91893280230744,47.884231688039904,7.476521013849843,34.81990198241214,plastic,2025-01-18,41.2,high,8.0,Reduce storage temperature; Consider airtight container
"eggs,rice,spinach",stir_fried,144.77438884237625,61.38272698439581,6.957302186110838,33.923051849266834,vacuum_sealed,2025-01-13,80.5,low,8.0,Reduce storage temperature
"pork,bread,carrots",steamed,120.47761443463406,168.2361516527565,7.968002033092181,47.57706715861602,ceramic,2025-01-13,43.1,high,8.0,Reduce storage temperature
"fish,bread,mushrooms",stir_fried,155.3531259830991,30.326658226371695,9.089266239598793,68.77534851534185,metal,2025-01-19,33.7,high,8.0,Reduce storage temperature; Control humidity
"tofu,potatoes,onions",boiled,244.74117394977924,103.03445227664706,7.065784274970301,71.64887347942128,vacuum_sealed,2025-01-03,46.5,high,8.0,Reduce storage temperature; Control humidity
"pork,potatoes,onions",grilled,164.37190972305967,147.8631226421667,6.793345646962321,58.489477027502396,vacuum_sealed,2025-01-21,68.5,medium,8.0,Reduce storage temperature
"fish,bread,carrots",stir_fried,118.41981653252836,166.43176869183517,2.9816193390473478,58.459692161346524,metal,2025-01-13,71.0,medium,4.981619339047348,Standard storage adequate
"pork,rice,spinach",fried,240.32241979693129,161.85419464185068,8.27969425452151,31.148021968810394,ceramic,2025-01-14,46.4,high,8.0,Reduce storage temperature
"eggs,bread,spinach",grilled,69.43299811753293,39.17798955783574,3.061705620723723,38.39247499043016,ceramic,2025-01-18,65.3,medium,5.061705620723723,Standard storage adequate
"lamb,rice,broccoli",baked,104.67105779405969,78.57476565270444,2.014774751416213,30.934687370816178,ceramic,2025-01-16,76.1,low,4.014774751416213,Standard storage adequate
